site,trial,direction,force_n,adc,notes
met1,sim,loading,0.5000,656.21,SIMULATED
met1,sim,loading,2.1458,2484.01,SIMULATED
met1,sim,loading,3.7917,3179.40,SIMULATED
met1,sim,loading,5.4375,3491.47,SIMULATED
met1,sim,loading,7.0833,3674.98,SIMULATED
met1,sim,loading,8.7292,3772.63,SIMULATED
met1,sim,loading,10.3750,3837.38,SIMULATED
met1,sim,loading,12.0208,3885.51,SIMULATED
met1,sim,loading,13.6667,3905.83,SIMULATED
met1,sim,loading,15.3125,3948.20,SIMULATED
met1,sim,loading,16.9583,3955.89,SIMULATED
met1,sim,loading,18.6042,3975.42,SIMULATED
met1,sim,loading,20.2500,4000.03,SIMULATED
met1,sim,loading,21.8958,3990.58,SIMULATED
met1,sim,loading,23.5417,3997.30,SIMULATED
met1,sim,loading,25.1875,4009.29,SIMULATED
met1,sim,loading,26.8333,4038.62,SIMULATED
met1,sim,loading,28.4792,4029.73,SIMULATED
met1,sim,loading,30.1250,4041.02,SIMULATED
met1,sim,loading,31.7708,4035.25,SIMULATED
met1,sim,loading,33.4167,4028.97,SIMULATED
met1,sim,loading,35.0625,4049.04,SIMULATED
met1,sim,loading,36.7083,4056.71,SIMULATED
met1,sim,loading,38.3542,4050.38,SIMULATED
met1,sim,loading,40.0000,4060.18,SIMULATED
met1,sim,unloading,40.0000,4048.17,SIMULATED
met1,sim,unloading,38.3542,4057.50,SIMULATED
met1,sim,unloading,36.7083,4055.96,SIMULATED
met1,sim,unloading,35.0625,4039.75,SIMULATED
met1,sim,unloading,33.4167,4038.88,SIMULATED
met1,sim,unloading,31.7708,4037.07,SIMULATED
met1,sim,unloading,30.1250,4020.59,SIMULATED
met1,sim,unloading,28.4792,4031.79,SIMULATED
met1,sim,unloading,26.8333,4021.16,SIMULATED
met1,sim,unloading,25.1875,4015.74,SIMULATED
met1,sim,unloading,23.5417,4007.63,SIMULATED
met1,sim,unloading,21.8958,3985.99,SIMULATED
met1,sim,unloading,20.2500,3982.80,SIMULATED
met1,sim,unloading,18.6042,3968.30,SIMULATED
met1,sim,unloading,16.9583,3968.58,SIMULATED
met1,sim,unloading,15.3125,3939.59,SIMULATED
met1,sim,unloading,13.6667,3907.27,SIMULATED
met1,sim,unloading,12.0208,3883.59,SIMULATED
met1,sim,unloading,10.3750,3825.51,SIMULATED
met1,sim,unloading,8.7292,3764.04,SIMULATED
met1,sim,unloading,7.0833,3659.85,SIMULATED
met1,sim,unloading,5.4375,3482.24,SIMULATED
met1,sim,unloading,3.7917,3166.10,SIMULATED
met1,sim,unloading,2.1458,2479.79,SIMULATED
met1,sim,unloading,0.5000,660.68,SIMULATED
