site,trial,direction,force_n,adc,pressure_kpa,data_source,notes
met1,trial1,loading,0.0000,3,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,loading,0.5000,853,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,loading,1.0000,1316,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,loading,2.0000,1864,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,loading,3.5000,2357,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,loading,5.0000,2681,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,loading,7.5000,2928,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,loading,10.0000,3116,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,loading,15.0000,3403,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,loading,20.0000,3592,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,loading,25.0000,3382,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,loading,30.0000,3564,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,unloading,30.0000,3578,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,unloading,25.0000,3613,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,unloading,20.0000,3542,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,unloading,15.0000,3432,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,unloading,10.0000,3244,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,unloading,7.5000,3055,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,unloading,5.0000,2784,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,unloading,3.5000,2452,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,unloading,2.0000,1961,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,unloading,1.0000,1372,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,unloading,0.5000,922,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial1,unloading,0.0000,3,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,loading,0.0000,2,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,loading,0.5000,831,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,loading,1.0000,1294,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,loading,2.0000,1896,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,loading,3.5000,2320,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,loading,5.0000,2628,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,loading,7.5000,3005,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,loading,10.0000,3232,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,loading,15.0000,3264,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,loading,20.0000,3440,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,loading,25.0000,3545,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,loading,30.0000,3572,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,unloading,30.0000,3612,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,unloading,25.0000,3596,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,unloading,20.0000,3434,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,unloading,15.0000,3409,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,unloading,10.0000,3140,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,unloading,7.5000,3005,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,unloading,5.0000,2787,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,unloading,3.5000,2454,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,unloading,2.0000,1995,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,unloading,1.0000,1394,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,unloading,0.5000,936,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial2,unloading,0.0000,2,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,loading,0.0000,4,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,loading,0.5000,838,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,loading,1.0000,1327,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,loading,2.0000,1848,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,loading,3.5000,2383,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,loading,5.0000,2617,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,loading,7.5000,2992,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,loading,10.0000,3168,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,loading,15.0000,3387,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,loading,20.0000,3509,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,loading,25.0000,3579,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,loading,30.0000,3613,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,unloading,30.0000,3621,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,unloading,25.0000,3645,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,unloading,20.0000,3504,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,unloading,15.0000,3400,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,unloading,10.0000,3237,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,unloading,7.5000,3142,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,unloading,5.0000,2735,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,unloading,3.5000,2470,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,unloading,2.0000,1969,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,unloading,1.0000,1376,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
