Sensor Configuration,subset,Performance,delta_vs_4_sensor,Feature Count,n_sites,macro_f1_ci95_lo,macro_f1_ci95_hi,Notes,data_source
4-site (met1+met2+met5+heel),4_all,0.8845729024622578,0.0,59,4,0.8729493692909518,0.8944384560951245,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
3-site (met2+met5+heel),3_no_met1,0.8829127034899618,-0.0016601989722960786,59,3,0.8732048140156919,0.8935868114761069,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
3-site (met1+met5+heel),3_no_met2,0.8736789243547213,-0.010893978107536562,59,3,0.8638372415380101,0.8845200297311488,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
3-site (met1+met2+heel),3_no_met5,0.6712263023881707,-0.21334660007408712,59,3,0.6518235044690921,0.6876927115327843,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
3-site (met1+met2+met5),3_no_heel,0.656600395618381,-0.22797250684387682,59,3,0.6418423963946578,0.670650788682025,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
2-site (met2+heel),2_met2_heel,0.6860149058469218,-0.19855799661533602,59,2,0.6714302492631767,0.6999751920660807,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
2-site (met1+heel),2_met1_heel,0.6638396516688048,-0.22073325079345307,59,2,0.6484555809782551,0.6775921001712866,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
2-site (met1+met2),2_met1_met2,0.43505059617871816,-0.4495223062835397,59,2,0.4202235110318594,0.4473234814810056,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
1-site (met2),1_met2,0.3955332990198343,-0.48903960344242353,59,1,0.3819614114582228,0.407336876337717,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
1-site (heel),1_heel,0.42091694970667665,-0.4636559527555812,59,1,0.4101225906031086,0.4381271586227681,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
1-site (met1),1_met1,0.39427538012774566,-0.4902975223345122,59,1,0.38040052303771305,0.41011683269799754,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
1-site (met5),1_met5,0.3983056470732471,-0.4862672553890107,59,1,0.3868510862550798,0.4112417862834951,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
2-site (met1+met5),2_met1_met5,0.6391549956549898,-0.24541790680726805,59,2,0.6244816694869423,0.6532839233809742,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
2-site (met2+met5),2_met2_met5,0.6305626809468502,-0.25401022151540764,59,2,0.615212442758262,0.6437815010722225,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
2-site (met5+heel),2_met5_heel,0.6491790269691249,-0.23539387549313295,59,2,0.6349515588052845,0.6625193669338812,59 features still extracted; dropped sites are zeroed. Synthetic labels.,synthetic
