perturbation,severity,macro_f1,accuracy,data_source,validation_type
none,0.0,0.8468313237746331,0.8487654320987654,synthetic,engineering_simulation
gaussian_noise_kpa,1.5,0.8812803368076231,0.8827160493827161,synthetic,engineering_simulation
gaussian_noise_kpa,3.5,0.8804789576471382,0.8827160493827161,synthetic,engineering_simulation
gaussian_noise_kpa,7.0,0.827634511150332,0.8317901234567902,synthetic,engineering_simulation
gaussian_noise_kpa,12.0,0.6411388665764197,0.6697530864197531,synthetic,engineering_simulation
calibration_drift_gain,0.05,0.8405829895026402,0.8425925925925926,synthetic,engineering_simulation
calibration_drift_gain,0.15,0.8408222718152664,0.8425925925925926,synthetic,engineering_simulation
calibration_drift_gain,0.3,0.8234112369619422,0.8271604938271605,synthetic,engineering_simulation
dropped_packets_frac,0.02,0.8403580213198611,0.8425925925925926,synthetic,engineering_simulation
dropped_packets_frac,0.08,0.806157875731929,0.808641975308642,synthetic,engineering_simulation
dropped_packets_frac,0.2,0.7076148866130682,0.7160493827160493,synthetic,engineering_simulation
missing_sensor_index,0.0,0.5051548259694791,0.5370370370370371,synthetic,engineering_simulation
missing_sensor_index,1.0,0.29325689325689325,0.3595679012345679,synthetic,engineering_simulation
missing_sensor_index,2.0,0.3808031559950973,0.4521604938271605,synthetic,engineering_simulation
missing_sensor_index,3.0,0.2181655755460958,0.3271604938271605,synthetic,engineering_simulation
short_dropout_samples,2.0,0.836795714026001,0.8395061728395061,synthetic,engineering_simulation
short_dropout_samples,5.0,0.8177777987026124,0.8209876543209876,synthetic,engineering_simulation
short_dropout_samples,12.0,0.8067679266510585,0.8101851851851852,synthetic,engineering_simulation
sensor_bias_kpa,5.0,0.7611714352002994,0.7484567901234568,synthetic,engineering_simulation
sensor_bias_kpa,15.0,0.18050941794838404,0.2222222222222222,synthetic,engineering_simulation
sensor_bias_kpa,30.0,0.054016362252663624,0.1419753086419753,synthetic,engineering_simulation
sampling_rate_factor,1.0,0.8468313237746331,0.8487654320987654,synthetic,engineering_simulation
sampling_rate_factor,2.0,0.8755250257389933,0.875,synthetic,engineering_simulation
sampling_rate_factor,4.0,0.7766564579174521,0.7731481481481481,synthetic,engineering_simulation
timing_jitter_frac,0.0,0.8468313237746331,0.8487654320987654,synthetic,engineering_simulation
timing_jitter_frac,0.15,0.8706576468100339,0.8719135802469136,synthetic,engineering_simulation
timing_jitter_frac,0.35,0.8739924181749892,0.875,synthetic,engineering_simulation
