subset,label,n_sites,macro_f1,macro_f1_ci95_lo,macro_f1_ci95_hi,fold_macro_f1_mean,data_source,validation_type
4_all,4-site (met1+met2+met5+heel),4,0.8845729024622578,0.8729493692909518,0.8944384560951245,0.8852705676125632,synthetic,engineering_simulation
3_no_met1,3-site (met2+met5+heel),3,0.8829127034899618,0.8732048140156919,0.8935868114761069,0.8848375138752598,synthetic,engineering_simulation
3_no_met2,3-site (met1+met5+heel),3,0.8736789243547213,0.8638372415380101,0.8845200297311488,0.8762732997235141,synthetic,engineering_simulation
3_no_met5,3-site (met1+met2+heel),3,0.6712263023881707,0.6518235044690921,0.6876927115327843,0.6698131019408551,synthetic,engineering_simulation
3_no_heel,3-site (met1+met2+met5),3,0.656600395618381,0.6418423963946578,0.670650788682025,0.6527035754321917,synthetic,engineering_simulation
2_met2_heel,2-site (met2+heel),2,0.6860149058469218,0.6714302492631767,0.6999751920660807,0.682917072083036,synthetic,engineering_simulation
2_met1_heel,2-site (met1+heel),2,0.6638396516688048,0.6484555809782551,0.6775921001712866,0.6647941935617431,synthetic,engineering_simulation
2_met1_met2,2-site (met1+met2),2,0.43505059617871816,0.4202235110318594,0.4473234814810056,0.42914611167009953,synthetic,engineering_simulation
1_met2,1-site (met2),1,0.3955332990198343,0.3819614114582228,0.407336876337717,0.3953869937659694,synthetic,engineering_simulation
1_heel,1-site (heel),1,0.42091694970667665,0.4101225906031086,0.4381271586227681,0.41326686894914266,synthetic,engineering_simulation
1_met1,1-site (met1),1,0.39427538012774566,0.38040052303771305,0.41011683269799754,0.3936329486507634,synthetic,engineering_simulation
1_met5,1-site (met5),1,0.3983056470732471,0.3868510862550798,0.4112417862834951,0.3982937297452751,synthetic,engineering_simulation
